date,revenue,units_sold,marketing_spend,region,bike_model,cost_per_unit,profit_margin
2025-03-03,47200.00,38,3500.00,East,Mountain Pro X1,850.00,22.5
2025-03-04,42800.00,35,3100.00,West,Urban Commuter 300,650.00,18.7
2025-03-05,55100.00,45,4300.00,North,Electric Glide E1,1200.00,28.6
2025-03-06,36700.00,30,2600.00,South,Classic Cruiser 200,520.00,15.4
2025-03-07,49600.00,40,3800.00,East,Speed Racer Elite,920.00,25.3
2025-03-08,44400.00,36,3200.00,West,Trail Blazer 500,780.00,20.1
2025-03-09,52700.00,43,4100.00,North,Mountain Pro X1,850.00,22.5
2025-03-10,39100.00,32,2800.00,South,Urban Commuter 300,650.00,18.7
2025-03-11,56200.00,46,4400.00,East,Electric Glide E1,1200.00,28.6
2025-03-12,41500.00,33,3000.00,West,Speed Racer Elite,920.00,25.3
2025-03-13,48100.00,39,3600.00,North,Trail Blazer 500,780.00,20.1
2025-03-14,37600.00,30,2700.00,South,Mountain Pro X1,850.00,22.5
2025-03-15,54400.00,44,4200.00,East,Speed Racer Elite,920.00,25.3
2025-03-16,40500.00,33,2900.00,West,Classic Cruiser 200,520.00,15.4
2025-03-17,51200.00,42,3900.00,North,Electric Glide E1,1200.00,28.6
2025-03-18,38600.00,31,2800.00,South,Trail Blazer 500,780.00,20.1
2025-03-19,49900.00,41,3800.00,East,Mountain Pro X1,850.00,22.5
2025-03-20,43300.00,35,3100.00,West,Speed Racer Elite,920.00,25.3
2025-03-21,57600.00,47,4500.00,North,Electric Glide E1,1200.00,28.6
2025-03-22,36400.00,29,2500.00,South,Classic Cruiser 200,520.00,15.4
2025-03-23,48500.00,39,3700.00,East,Trail Blazer 500,780.00,20.1
2025-03-24,42600.00,34,3100.00,West,Urban Commuter 300,650.00,18.7
2025-03-25,55300.00,45,4300.00,North,Speed Racer Elite,920.00,25.3
2025-03-26,39300.00,32,2800.00,South,Mountain Pro X1,850.00,22.5
2025-03-27,50800.00,41,3900.00,East,Electric Glide E1,1200.00,28.6
2025-03-28,44700.00,36,3300.00,West,Trail Blazer 500,780.00,20.1
2025-03-29,53100.00,43,4100.00,North,Mountain Pro X1,850.00,22.5
2025-03-30,37900.00,31,2700.00,South,Urban Commuter 300,650.00,18.7
2025-03-31,56700.00,46,4400.00,East,Speed Racer Elite,920.00,25.3
2025-04-01,41200.00,33,3000.00,West,Classic Cruiser 200,520.00,15.4
2025-04-02,47400.00,38,3500.00,North,Electric Glide E1,1200.00,28.6
2025-04-03,38200.00,31,2700.00,South,Trail Blazer 500,780.00,20.1
2025-04-04,52900.00,43,4100.00,East,Speed Racer Elite,920.00,25.3
2025-04-05,44100.00,36,3200.00,West,Mountain Pro X1,850.00,22.5
2025-04-06,57300.00,47,4500.00,North,Electric Glide E1,1200.00,28.6
2025-04-07,35800.00,29,2500.00,South,Classic Cruiser 200,520.00,15.4
2025-04-08,49200.00,40,3700.00,East,Mountain Pro X1,850.00,22.5
2025-04-09,43600.00,35,3200.00,West,Urban Commuter 300,650.00,18.7
2025-04-10,54600.00,44,4200.00,North,Speed Racer Elite,920.00,25.3
2025-04-11,39700.00,32,2800.00,South,Trail Blazer 500,780.00,20.1
2025-04-12,51100.00,42,3900.00,East,Electric Glide E1,1200.00,28.6
2025-04-13,42400.00,34,3100.00,West,Speed Racer Elite,920.00,25.3
2025-04-14,48000.00,39,3600.00,North,Mountain Pro X1,850.00,22.5
2025-04-15,37100.00,30,2600.00,South,Urban Commuter 300,650.00,18.7
2025-04-16,55500.00,45,4300.00,East,Electric Glide E1,1200.00,28.6
2025-04-17,40900.00,33,2900.00,West,Classic Cruiser 200,520.00,15.4
2025-04-18,51400.00,42,3900.00,North,Trail Blazer 500,780.00,20.1
2025-04-19,38500.00,31,2800.00,South,Mountain Pro X1,850.00,22.5
2025-04-20,49500.00,40,3700.00,East,Speed Racer Elite,920.00,25.3
2025-04-21,43000.00,35,3100.00,West,Trail Blazer 500,780.00,20.1
2025-04-22,57800.00,47,4500.00,North,Electric Glide E1,1200.00,28.6
2025-04-23,36100.00,29,2500.00,South,Classic Cruiser 200,520.00,15.4
2025-04-24,48200.00,39,3700.00,East,Mountain Pro X1,850.00,22.5
2025-04-25,42200.00,34,3100.00,West,Urban Commuter 300,650.00,18.7
2025-04-26,54900.00,44,4200.00,North,Speed Racer Elite,920.00,25.3
2025-04-27,39000.00,32,2800.00,South,Trail Blazer 500,780.00,20.1
2025-04-28,50700.00,41,3900.00,East,Electric Glide E1,1200.00,28.6
2025-04-29,44500.00,36,3300.00,West,Speed Racer Elite,920.00,25.3
2025-04-30,53300.00,43,4100.00,North,Mountain Pro X1,850.00,22.5
2025-05-01,37700.00,31,2700.00,South,Urban Commuter 300,650.00,18.7
2025-05-02,56400.00,46,4400.00,East,Electric Glide E1,1200.00,28.6
2025-05-03,40600.00,33,2900.00,West,Classic Cruiser 200,520.00,15.4
2025-05-04,47500.00,38,3500.00,North,Trail Blazer 500,780.00,20.1
2025-05-05,38000.00,31,2700.00,South,Mountain Pro X1,850.00,22.5
2025-05-06,52600.00,43,4100.00,East,Speed Racer Elite,920.00,25.3
2025-05-07,43900.00,36,3200.00,West,Trail Blazer 500,780.00,20.1
2025-05-08,57200.00,47,4500.00,North,Electric Glide E1,1200.00,28.6
2025-05-09,36300.00,29,2500.00,South,Classic Cruiser 200,520.00,15.4
2025-05-10,49000.00,40,3700.00,East,Mountain Pro X1,850.00,22.5
2025-05-11,43400.00,35,3200.00,West,Urban Commuter 300,650.00,18.7
2025-05-12,54800.00,44,4200.00,North,Speed Racer Elite,920.00,25.3
2025-05-13,39400.00,32,2800.00,South,Trail Blazer 500,780.00,20.1
2025-05-14,51000.00,42,3900.00,East,Electric Glide E1,1200.00,28.6
2025-05-15,42700.00,34,3100.00,West,Speed Racer Elite,920.00,25.3
2025-05-16,48300.00,39,3600.00,North,Mountain Pro X1,850.00,22.5
2025-05-17,37300.00,30,2600.00,South,Classic Cruiser 200,520.00,15.4
2025-05-18,55700.00,45,4300.00,East,Electric Glide E1,1200.00,28.6
2025-05-19,40700.00,33,2900.00,West,Trail Blazer 500,780.00,20.1
2025-05-20,51600.00,42,3900.00,North,Speed Racer Elite,920.00,25.3
2025-05-21,38400.00,31,2800.00,South,Mountain Pro X1,850.00,22.5
2025-05-22,49800.00,40,3700.00,East,Trail Blazer 500,780.00,20.1
2025-05-23,43200.00,35,3100.00,West,Speed Racer Elite,920.00,25.3
2025-05-24,57500.00,47,4500.00,North,Electric Glide E1,1200.00,28.6
2025-05-25,36600.00,29,2500.00,South,Classic Cruiser 200,520.00,15.4
2025-05-26,48600.00,39,3700.00,East,Mountain Pro X1,850.00,22.5
2025-05-27,42500.00,34,3100.00,West,Urban Commuter 300,650.00,18.7
2025-05-28,55000.00,44,4200.00,North,Speed Racer Elite,920.00,25.3
2025-05-29,39200.00,32,2800.00,South,Trail Blazer 500,780.00,20.1
2025-05-30,50500.00,41,3900.00,East,Electric Glide E1,1200.00,28.6
2025-05-31,44300.00,36,3300.00,West,Speed Racer Elite,920.00,25.3
2025-06-01,53000.00,43,4100.00,North,Mountain Pro X1,850.00,22.5
2025-06-02,37500.00,31,2700.00,South,Urban Commuter 300,650.00,18.7
2025-06-03,56600.00,46,4400.00,East,Electric Glide E1,1200.00,28.6
2025-06-04,41000.00,33,3000.00,West,Classic Cruiser 200,520.00,15.4
2025-06-05,47700.00,38,3500.00,North,Trail Blazer 500,780.00,20.1
2025-06-06,38800.00,31,2700.00,South,Mountain Pro X1,850.00,22.5
2025-06-07,52800.00,43,4100.00,East,Speed Racer Elite,920.00,25.3
2025-06-08,43800.00,36,3200.00,West,Trail Blazer 500,780.00,20.1
2025-06-09,57000.00,47,4500.00,North,Electric Glide E1,1200.00,28.6
2025-06-10,36800.00,29,2500.00,South,Classic Cruiser 200,520.00,15.4
2025-06-11,49400.00,40,3700.00,East,Mountain Pro X1,850.00,22.5
2025-06-12,43100.00,35,3200.00,West,Urban Commuter 300,650.00,18.7
2025-06-13,54500.00,44,4200.00,North,Speed Racer Elite,920.00,25.3
2025-06-14,39600.00,32,2800.00,South,Trail Blazer 500,780.00,20.1
2025-06-15,51300.00,42,3900.00,East,Electric Glide E1,1200.00,28.6
2025-06-16,42900.00,34,3100.00,West,Speed Racer Elite,920.00,25.3
2025-06-17,48200.00,39,3600.00,North,Mountain Pro X1,850.00,22.5
2025-06-18,37200.00,30,2600.00,South,Classic Cruiser 200,520.00,15.4
2025-06-19,55600.00,45,4300.00,East,Electric Glide E1,1200.00,28.6
2025-06-20,40400.00,33,2900.00,West,Trail Blazer 500,780.00,20.1
2025-06-21,51900.00,42,3900.00,North,Speed Racer Elite,920.00,25.3
2025-06-22,38700.00,31,2800.00,South,Mountain Pro X1,850.00,22.5
2025-06-23,49700.00,40,3700.00,East,Trail Blazer 500,780.00,20.1
2025-06-24,43500.00,35,3100.00,West,Speed Racer Elite,920.00,25.3
2025-06-25,57700.00,47,4500.00,North,Electric Glide E1,1200.00,28.6
2025-06-26,36500.00,29,2500.00,South,Classic Cruiser 200,520.00,15.4
2025-06-27,48900.00,39,3700.00,East,Mountain Pro X1,850.00,22.5
2025-06-28,42800.00,34,3100.00,West,Urban Commuter 300,650.00,18.7
2025-06-29,55200.00,44,4200.00,North,Speed Racer Elite,920.00,25.3
2025-06-30,39100.00,32,2800.00,South,Trail Blazer 500,780.00,20.1
2025-07-01,50600.00,41,3900.00,East,Electric Glide E1,1200.00,28.6
2025-07-02,44200.00,36,3300.00,West,Speed Racer Elite,920.00,25.3
2025-07-03,53400.00,43,4100.00,North,Mountain Pro X1,850.00,22.5
2025-07-04,37800.00,31,2700.00,South,Urban Commuter 300,650.00,18.7
2025-07-05,56800.00,46,4400.00,East,Electric Glide E1,1200.00,28.6
2025-07-06,40800.00,33,2900.00,West,Classic Cruiser 200,520.00,15.4
2025-07-07,47900.00,38,3500.00,North,Trail Blazer 500,780.00,20.1
2025-07-08,38600.00,31,2700.00,South,Mountain Pro X1,850.00,22.5
2025-07-09,52500.00,43,4100.00,East,Speed Racer Elite,920.00,25.3
2025-07-10,43700.00,36,3200.00,West,Trail Blazer 500,780.00,20.1
2025-07-11,57100.00,47,4500.00,North,Electric Glide E1,1200.00,28.6
2025-07-12,36900.00,29,2500.00,South,Classic Cruiser 200,520.00,15.4
2025-07-13,49300.00,40,3700.00,East,Mountain Pro X1,850.00,22.5
2025-07-14,43300.00,35,3200.00,West,Urban Commuter 300,650.00,18.7
2025-07-15,54700.00,44,4200.00,North,Speed Racer Elite,920.00,25.3
2025-07-16,39500.00,32,2800.00,South,Trail Blazer 500,780.00,20.1
2025-07-17,51200.00,42,3900.00,East,Electric Glide E1,1200.00,28.6
2025-07-18,42600.00,34,3100.00,West,Speed Racer Elite,920.00,25.3
2025-07-19,48400.00,39,3600.00,North,Mountain Pro X1,850.00,22.5
2025-07-20,37400.00,30,2600.00,South,Classic Cruiser 200,520.00,15.4
2025-07-21,55800.00,45,4300.00,East,Electric Glide E1,1200.00,28.6
2025-07-22,40600.00,33,2900.00,West,Trail Blazer 500,780.00,20.1
2025-07-23,51800.00,42,3900.00,North,Speed Racer Elite,920.00,25.3
2025-07-24,38900.00,31,2800.00,South,Mountain Pro X1,850.00,22.5
2025-07-25,49600.00,40,3700.00,East,Trail Blazer 500,780.00,20.1
2025-07-26,43400.00,35,3100.00,West,Speed Racer Elite,920.00,25.3
2025-07-27,57400.00,47,4500.00,North,Electric Glide E1,1200.00,28.6
2025-07-28,36700.00,29,2500.00,South,Classic Cruiser 200,520.00,15.4
2025-07-29,48800.00,39,3700.00,East,Mountain Pro X1,850.00,22.5
2025-07-30,43000.00,34,3100.00,West,Urban Commuter 300,650.00,18.7
2025-07-31,55100.00,44,4200.00,North,Speed Racer Elite,920.00,25.3
