date,revenue,active_subscribers,new_customers,churned_customers,mrr,expansion_revenue,plan_type,region
2025-03-30,30600.00,1448,92,36,306000.00,13600.00,Pro,North
2025-03-31,26300.00,1404,74,30,263000.00,10600.00,Starter,South
2025-04-01,33200.00,1475,101,41,332000.00,15500.00,Enterprise,East
2025-04-02,24400.00,1380,64,30,244000.00,9400.00,Starter,West
2025-04-03,29900.00,1442,90,35,299000.00,13100.00,Pro,North
2025-04-04,27200.00,1411,77,31,272000.00,11100.00,Pro,South
2025-04-05,35300.00,1503,108,45,353000.00,16900.00,Enterprise,East
2025-04-06,25200.00,1391,69,28,252000.00,9900.00,Starter,West
2025-04-07,30900.00,1451,93,36,309000.00,13900.00,Pro,North
2025-04-08,26100.00,1402,74,29,261000.00,10500.00,Starter,South
2025-04-09,32600.00,1468,98,40,326000.00,15100.00,Enterprise,East
2025-04-10,24500.00,1381,65,31,245000.00,9500.00,Starter,West
2025-04-11,29800.00,1441,90,35,298000.00,13000.00,Pro,North
2025-04-12,27500.00,1414,78,31,275000.00,11300.00,Pro,South
2025-04-13,34600.00,1494,106,44,346000.00,16300.00,Enterprise,East
2025-04-14,25700.00,1397,70,28,257000.00,10200.00,Starter,West
2025-04-15,30300.00,1446,92,37,303000.00,13500.00,Pro,North
2025-04-16,26600.00,1406,76,30,266000.00,10800.00,Starter,South
2025-04-17,32900.00,1471,100,41,329000.00,15300.00,Enterprise,East
2025-04-18,24300.00,1379,64,30,243000.00,9400.00,Starter,West
2025-04-19,30000.00,1443,91,36,300000.00,13200.00,Pro,North
2025-04-20,27100.00,1410,76,30,271000.00,11100.00,Pro,South
2025-04-21,34300.00,1491,105,44,343000.00,16200.00,Enterprise,East
2025-04-22,25400.00,1393,69,28,254000.00,10100.00,Starter,West
2025-04-23,30700.00,1449,92,36,307000.00,13700.00,Pro,North
2025-04-24,26400.00,1405,75,29,264000.00,10700.00,Starter,South
2025-04-25,33500.00,1478,102,42,335000.00,15600.00,Enterprise,East
2025-04-26,24800.00,1385,66,30,248000.00,9700.00,Starter,West
2025-04-27,29600.00,1438,89,35,296000.00,12800.00,Pro,North
2025-04-28,27300.00,1412,77,31,273000.00,11200.00,Pro,South
2025-04-29,35100.00,1501,108,45,351000.00,16700.00,Enterprise,East
2025-04-30,25100.00,1390,68,28,251000.00,9900.00,Starter,West
2025-05-01,30500.00,1447,92,37,305000.00,13600.00,Pro,North
2025-05-02,26700.00,1407,76,30,267000.00,10800.00,Starter,South
2025-05-03,32800.00,1470,99,41,328000.00,15200.00,Enterprise,East
2025-05-04,24600.00,1382,65,31,246000.00,9500.00,Starter,West
2025-05-05,30100.00,1444,91,36,301000.00,13300.00,Pro,North
2025-05-06,27000.00,1410,76,30,270000.00,11000.00,Pro,South
2025-05-07,34700.00,1495,106,44,347000.00,16400.00,Enterprise,East
2025-05-08,25600.00,1396,70,28,256000.00,10200.00,Starter,West
2025-05-09,31000.00,1453,94,37,310000.00,14000.00,Pro,North
2025-05-10,26200.00,1403,74,29,262000.00,10500.00,Starter,South
2025-05-11,33300.00,1476,102,42,333000.00,15500.00,Enterprise,East
2025-05-12,24200.00,1378,64,30,242000.00,9300.00,Starter,West
2025-05-13,29800.00,1441,90,35,298000.00,13000.00,Pro,North
2025-05-14,27400.00,1413,77,31,274000.00,11200.00,Pro,South
2025-05-15,35000.00,1500,107,45,350000.00,16600.00,Enterprise,East
2025-05-16,25300.00,1392,69,28,253000.00,10000.00,Starter,West
2025-05-17,30800.00,1450,93,36,308000.00,13800.00,Pro,North
2025-05-18,26500.00,1405,75,30,265000.00,10700.00,Starter,South
2025-05-19,32700.00,1469,99,40,327000.00,15200.00,Enterprise,East
2025-05-20,24700.00,1383,66,31,247000.00,9600.00,Starter,West
2025-05-21,30200.00,1445,91,36,302000.00,13400.00,Pro,North
2025-05-22,27200.00,1411,77,31,272000.00,11100.00,Pro,South
2025-05-23,34400.00,1492,105,44,344000.00,16200.00,Enterprise,East
2025-05-24,25000.00,1390,68,28,250000.00,9800.00,Starter,West
2025-05-25,30600.00,1448,92,36,306000.00,13600.00,Pro,North
2025-05-26,26300.00,1404,75,30,263000.00,10600.00,Starter,South
2025-05-27,33000.00,1473,100,41,330000.00,15400.00,Enterprise,East
2025-05-28,24400.00,1380,64,30,244000.00,9400.00,Starter,West
2025-05-29,29700.00,1440,90,35,297000.00,12900.00,Pro,North
2025-05-30,27600.00,1415,78,31,276000.00,11400.00,Pro,South
2025-05-31,35400.00,1504,108,46,354000.00,16900.00,Enterprise,East
2025-06-01,25500.00,1395,69,28,255000.00,10100.00,Starter,West
2025-06-02,31200.00,1455,94,37,312000.00,14200.00,Pro,North
2025-06-03,26100.00,1402,74,29,261000.00,10500.00,Starter,South
2025-06-04,33400.00,1478,102,42,334000.00,15600.00,Enterprise,East
2025-06-05,24800.00,1385,66,31,248000.00,9700.00,Starter,West
2025-06-06,29900.00,1442,91,36,299000.00,13100.00,Pro,North
2025-06-07,27100.00,1410,76,30,271000.00,11100.00,Pro,South
2025-06-08,34900.00,1498,107,45,349000.00,16500.00,Enterprise,East
2025-06-09,25200.00,1391,69,28,252000.00,9900.00,Starter,West
2025-06-10,30800.00,1450,93,36,308000.00,13800.00,Pro,North
2025-06-11,26600.00,1406,76,30,266000.00,10800.00,Starter,South
2025-06-12,32900.00,1471,100,41,329000.00,15300.00,Enterprise,East
2025-06-13,24300.00,1379,64,30,243000.00,9400.00,Starter,West
2025-06-14,30000.00,1443,91,36,300000.00,13200.00,Pro,North
2025-06-15,27400.00,1413,77,31,274000.00,11200.00,Pro,South
2025-06-16,35200.00,1502,108,45,352000.00,16800.00,Enterprise,East
2025-06-17,25600.00,1396,70,28,256000.00,10200.00,Starter,West
2025-06-18,30600.00,1448,92,37,306000.00,13600.00,Pro,North
2025-06-19,26400.00,1405,75,29,264000.00,10700.00,Starter,South
2025-06-20,33100.00,1474,101,42,331000.00,15400.00,Enterprise,East
2025-06-21,24500.00,1381,65,31,245000.00,9500.00,Starter,West
2025-06-22,29700.00,1439,90,35,297000.00,12900.00,Pro,North
2025-06-23,27300.00,1412,77,31,273000.00,11200.00,Pro,South
2025-06-24,34600.00,1494,106,44,346000.00,16300.00,Enterprise,East
2025-06-25,25100.00,1390,68,28,251000.00,9900.00,Starter,West
2025-06-26,30900.00,1451,93,36,309000.00,13900.00,Pro,North
2025-06-27,26200.00,1403,74,30,262000.00,10500.00,Starter,South
2025-06-28,33500.00,1478,102,42,335000.00,15600.00,Enterprise,East
2025-06-29,24700.00,1383,66,31,247000.00,9600.00,Starter,West
2025-06-30,30300.00,1446,91,37,303000.00,13400.00,Pro,North
2025-07-01,26800.00,1408,76,30,268000.00,10900.00,Starter,South
2025-07-02,33800.00,1485,104,43,338000.00,15800.00,Enterprise,East
2025-07-03,24900.00,1386,67,29,249000.00,9800.00,Starter,West
2025-07-04,30200.00,1445,91,36,302000.00,13400.00,Pro,North
2025-07-05,27000.00,1410,76,31,270000.00,11000.00,Pro,South
2025-07-06,35100.00,1501,108,45,351000.00,16700.00,Enterprise,East
2025-07-07,25400.00,1393,69,28,254000.00,10100.00,Starter,West
2025-07-08,31000.00,1453,94,37,310000.00,14000.00,Pro,North
2025-07-09,26500.00,1405,75,30,265000.00,10700.00,Starter,South
2025-07-10,33000.00,1473,100,41,330000.00,15400.00,Enterprise,East
2025-07-11,24400.00,1380,65,30,244000.00,9400.00,Starter,West
2025-07-12,29800.00,1441,90,35,298000.00,13000.00,Pro,North
2025-07-13,27200.00,1411,77,31,272000.00,11100.00,Pro,South
2025-07-14,34800.00,1496,107,44,348000.00,16500.00,Enterprise,East
2025-07-15,25300.00,1392,69,28,253000.00,10000.00,Starter,West
2025-07-16,30700.00,1449,93,36,307000.00,13700.00,Pro,North
2025-07-17,26300.00,1404,74,29,263000.00,10600.00,Starter,South
2025-07-18,32800.00,1470,99,41,328000.00,15200.00,Enterprise,East
2025-07-19,24600.00,1382,66,31,246000.00,9500.00,Starter,West
2025-07-20,30100.00,1444,91,36,301000.00,13300.00,Pro,North
2025-07-21,27100.00,1410,76,30,271000.00,11100.00,Pro,South
2025-07-22,34500.00,1492,106,44,345000.00,16400.00,Enterprise,East
2025-07-23,25700.00,1396,70,28,257000.00,10200.00,Starter,West
2025-07-24,30500.00,1447,92,37,305000.00,13600.00,Pro,North
2025-07-25,26700.00,1407,76,30,267000.00,10800.00,Starter,South
2025-07-26,33200.00,1475,101,41,332000.00,15500.00,Enterprise,East
2025-07-27,24200.00,1378,64,30,242000.00,9300.00,Starter,West
2025-07-28,29900.00,1442,91,36,299000.00,13100.00,Pro,North
2025-07-29,27500.00,1414,78,31,275000.00,11300.00,Pro,South
2025-07-30,35300.00,1503,108,45,353000.00,16900.00,Enterprise,East
2025-07-31,25000.00,1390,68,28,250000.00,9800.00,Starter,West
