date,revenue,units_sold,marketing_spend,region,product_category,refund_rate,customer_rating
2025-02-11,99500.00,161,7500.00,South,Smartphones,1.9,4.7
2025-02-12,42700.00,280,3100.00,East,Accessories,4.5,4.0
2025-02-13,77400.00,121,5700.00,West,Laptops,2.0,4.5
2025-02-14,64800.00,210,4700.00,North,Headphones,3.2,4.4
2025-02-15,93100.00,149,6900.00,South,Smartphones,2.1,4.6
2025-02-16,57900.00,184,4200.00,East,Tablets,2.6,4.3
2025-02-17,105200.00,170,7900.00,West,Smartphones,1.6,4.8
2025-02-18,47100.00,312,3500.00,North,Accessories,4.0,4.1
2025-02-19,82300.00,129,6100.00,South,Laptops,1.8,4.7
2025-02-20,69800.00,226,5100.00,East,Headphones,2.9,4.3
2025-02-21,91500.00,147,6800.00,West,Smartphones,2.2,4.6
2025-02-22,55600.00,178,4000.00,North,Tablets,2.7,4.2
2025-02-23,100800.00,163,7600.00,South,Smartphones,1.8,4.8
2025-02-24,43900.00,288,3200.00,East,Accessories,4.3,4.0
2025-02-25,79100.00,124,5900.00,West,Laptops,1.9,4.5
2025-02-26,67500.00,220,4900.00,North,Headphones,3.1,4.3
2025-02-27,94800.00,153,7100.00,South,Smartphones,2.0,4.7
2025-02-28,58700.00,187,4300.00,East,Tablets,2.4,4.4
2025-03-01,107100.00,173,8100.00,West,Smartphones,1.5,4.9
2025-03-02,49200.00,322,3600.00,North,Accessories,3.9,4.2
2025-03-03,84400.00,132,6300.00,South,Laptops,1.7,4.7
2025-03-04,71800.00,234,5200.00,East,Headphones,2.8,4.4
2025-03-05,92900.00,150,6900.00,West,Smartphones,2.1,4.6
2025-03-06,56200.00,179,4100.00,North,Tablets,2.6,4.3
2025-03-07,101900.00,165,7700.00,South,Smartphones,1.7,4.8
2025-03-08,44500.00,295,3300.00,East,Accessories,4.2,4.1
2025-03-09,81200.00,127,6000.00,West,Laptops,1.8,4.6
2025-03-10,68100.00,222,4900.00,North,Headphones,3.0,4.2
2025-03-11,96500.00,156,7300.00,South,Smartphones,1.9,4.7
2025-03-12,59800.00,190,4400.00,East,Tablets,2.3,4.5
2025-03-13,103200.00,167,7800.00,West,Smartphones,1.6,4.9
2025-03-14,46700.00,308,3400.00,North,Accessories,4.1,4.0
2025-03-15,78800.00,123,5900.00,South,Laptops,1.9,4.5
2025-03-16,65500.00,213,4700.00,East,Headphones,3.3,4.3
2025-03-17,90200.00,145,6700.00,West,Smartphones,2.3,4.5
2025-03-18,53800.00,172,3900.00,North,Tablets,2.9,4.1
2025-03-19,98900.00,160,7400.00,South,Smartphones,2.0,4.6
2025-03-20,42300.00,278,3100.00,East,Accessories,4.6,4.0
2025-03-21,76900.00,120,5700.00,West,Laptops,2.1,4.4
2025-03-22,64200.00,208,4600.00,North,Headphones,3.4,4.2
2025-03-23,94100.00,152,7000.00,South,Smartphones,2.1,4.7
2025-03-24,57300.00,182,4200.00,East,Tablets,2.7,4.3
2025-03-25,106300.00,172,8000.00,West,Smartphones,1.5,4.8
2025-03-26,48800.00,320,3600.00,North,Accessories,3.8,4.2
2025-03-27,83700.00,131,6200.00,South,Laptops,1.7,4.7
2025-03-28,70600.00,230,5100.00,East,Headphones,2.9,4.3
2025-03-29,95100.00,154,7200.00,West,Smartphones,2.0,4.6
2025-03-30,55900.00,178,4100.00,North,Tablets,2.7,4.2
2025-03-31,102800.00,166,7700.00,South,Smartphones,1.8,4.8
2025-04-01,45100.00,298,3300.00,East,Accessories,4.3,4.1
2025-04-02,82800.00,130,6200.00,West,Laptops,1.8,4.6
2025-04-03,69200.00,224,5000.00,North,Headphones,3.0,4.3
2025-04-04,93400.00,151,7000.00,South,Smartphones,2.1,4.7
2025-04-05,58100.00,185,4300.00,East,Tablets,2.5,4.4
2025-04-06,104100.00,168,7900.00,West,Smartphones,1.7,4.8
2025-04-07,46900.00,310,3500.00,North,Accessories,4.0,4.1
2025-04-08,80100.00,125,6000.00,South,Laptops,1.9,4.5
2025-04-09,66800.00,217,4800.00,East,Headphones,3.2,4.3
2025-04-10,91200.00,147,6800.00,West,Smartphones,2.2,4.6
2025-04-11,54600.00,174,4000.00,North,Tablets,2.8,4.2
2025-04-12,99800.00,162,7500.00,South,Smartphones,1.9,4.7
2025-04-13,43100.00,282,3200.00,East,Accessories,4.4,4.0
2025-04-14,77900.00,122,5800.00,West,Laptops,2.0,4.5
2025-04-15,65100.00,211,4700.00,North,Headphones,3.3,4.2
2025-04-16,93600.00,152,7100.00,South,Smartphones,2.0,4.6
2025-04-17,57100.00,181,4200.00,East,Tablets,2.6,4.3
2025-04-18,105600.00,171,7900.00,West,Smartphones,1.6,4.9
2025-04-19,48200.00,316,3600.00,North,Accessories,3.9,4.2
2025-04-20,84000.00,132,6300.00,South,Laptops,1.7,4.7
2025-04-21,71300.00,231,5200.00,East,Headphones,2.8,4.4
2025-04-22,95800.00,155,7300.00,West,Smartphones,1.9,4.7
2025-04-23,59500.00,189,4400.00,North,Tablets,2.3,4.5
2025-04-24,103500.00,168,7800.00,South,Smartphones,1.6,4.8
2025-04-25,47400.00,312,3500.00,East,Accessories,4.0,4.1
2025-04-26,81500.00,128,6100.00,West,Laptops,1.8,4.6
2025-04-27,68500.00,223,5000.00,North,Headphones,3.1,4.3
2025-04-28,92400.00,149,6900.00,South,Smartphones,2.1,4.6
2025-04-29,55400.00,177,4100.00,East,Tablets,2.7,4.2
2025-04-30,101500.00,164,7600.00,West,Smartphones,1.8,4.7
2025-05-01,44200.00,291,3300.00,North,Accessories,4.3,4.0
2025-05-02,79500.00,124,5900.00,South,Laptops,1.9,4.5
2025-05-03,66100.00,214,4800.00,East,Headphones,3.2,4.3
2025-05-04,90600.00,146,6700.00,West,Smartphones,2.3,4.5
2025-05-05,53500.00,171,3900.00,North,Tablets,2.9,4.1
2025-05-06,98200.00,159,7400.00,South,Smartphones,2.0,4.6
2025-05-07,42500.00,280,3100.00,East,Accessories,4.6,4.0
2025-05-08,76400.00,120,5700.00,West,Laptops,2.1,4.4
2025-05-09,63800.00,207,4600.00,North,Headphones,3.4,4.2
2025-05-10,94400.00,153,7100.00,South,Smartphones,2.0,4.7
2025-05-11,56900.00,182,4200.00,East,Tablets,2.6,4.3
2025-05-12,106700.00,173,8100.00,West,Smartphones,1.5,4.9
2025-05-13,49000.00,323,3600.00,North,Accessories,3.8,4.2
2025-05-14,84200.00,133,6300.00,South,Laptops,1.7,4.7
2025-05-15,71600.00,233,5200.00,East,Headphones,2.8,4.4
2025-05-16,93200.00,150,6900.00,West,Smartphones,2.1,4.6
2025-05-17,57700.00,184,4300.00,North,Tablets,2.5,4.4
2025-05-18,102100.00,165,7700.00,South,Smartphones,1.7,4.8
2025-05-19,44700.00,296,3300.00,East,Accessories,4.2,4.1
2025-05-20,80900.00,127,6000.00,West,Laptops,1.8,4.6
2025-05-21,67800.00,221,4900.00,North,Headphones,3.0,4.3
2025-05-22,95500.00,155,7200.00,South,Smartphones,1.9,4.7
2025-05-23,59100.00,188,4400.00,East,Tablets,2.3,4.5
2025-05-24,103800.00,168,7800.00,West,Smartphones,1.6,4.8
2025-05-25,46500.00,307,3400.00,North,Accessories,4.1,4.0
2025-05-26,78500.00,123,5800.00,South,Laptops,2.0,4.5
2025-05-27,64900.00,210,4700.00,East,Headphones,3.3,4.2
2025-05-28,91000.00,146,6800.00,West,Smartphones,2.2,4.5
2025-05-29,54100.00,173,3900.00,North,Tablets,2.9,4.1
2025-05-30,99100.00,161,7500.00,South,Smartphones,2.0,4.6
2025-05-31,42900.00,281,3100.00,East,Accessories,4.5,4.0
2025-06-01,77200.00,121,5700.00,West,Laptops,2.1,4.4
2025-06-02,64500.00,209,4600.00,North,Headphones,3.4,4.2
2025-06-03,93800.00,152,7100.00,South,Smartphones,2.0,4.7
2025-06-04,57400.00,182,4200.00,East,Tablets,2.6,4.3
2025-06-05,105900.00,171,7900.00,West,Smartphones,1.6,4.9
2025-06-06,48600.00,318,3600.00,North,Accessories,3.8,4.2
2025-06-07,83900.00,132,6300.00,South,Laptops,1.7,4.7
2025-06-08,71000.00,230,5200.00,East,Headphones,2.8,4.4
2025-06-09,95300.00,154,7200.00,West,Smartphones,1.9,4.7
2025-06-10,59300.00,189,4400.00,North,Tablets,2.3,4.5
2025-06-11,103100.00,167,7800.00,South,Smartphones,1.6,4.8
2025-06-12,47200.00,311,3500.00,East,Accessories,4.0,4.1
2025-06-13,81800.00,128,6100.00,West,Laptops,1.8,4.6
2025-06-14,68700.00,223,5000.00,North,Headphones,3.1,4.3
2025-06-15,92000.00,148,6900.00,South,Smartphones,2.2,4.6
2025-06-16,55200.00,176,4100.00,East,Tablets,2.7,4.2
2025-06-17,101800.00,164,7600.00,West,Smartphones,1.8,4.7
2025-06-18,44000.00,290,3300.00,North,Accessories,4.3,4.0
2025-06-19,79300.00,124,5900.00,South,Laptops,1.9,4.5
2025-06-20,66400.00,216,4800.00,East,Headphones,3.2,4.3
2025-06-21,90900.00,146,6700.00,West,Smartphones,2.3,4.5
2025-06-22,53700.00,172,3900.00,North,Tablets,2.9,4.1
2025-06-23,98600.00,160,7400.00,South,Smartphones,2.0,4.6
2025-06-24,42700.00,279,3100.00,East,Accessories,4.6,4.0
2025-06-25,76700.00,120,5700.00,West,Laptops,2.1,4.4
2025-06-26,64000.00,208,4600.00,North,Headphones,3.4,4.2
2025-06-27,94300.00,153,7100.00,South,Smartphones,2.0,4.7
2025-06-28,57200.00,182,4200.00,East,Tablets,2.6,4.3
2025-06-29,106500.00,173,8100.00,West,Smartphones,1.5,4.9
2025-06-30,48900.00,321,3600.00,North,Accessories,3.8,4.2
2025-07-01,84300.00,133,6300.00,South,Laptops,1.7,4.7
2025-07-02,71400.00,232,5200.00,East,Headphones,2.8,4.4
2025-07-03,95600.00,155,7200.00,West,Smartphones,1.9,4.7
2025-07-04,59000.00,188,4400.00,North,Tablets,2.3,4.5
2025-07-05,103400.00,168,7800.00,South,Smartphones,1.6,4.8
2025-07-06,47000.00,310,3500.00,East,Accessories,4.0,4.1
2025-07-07,81600.00,128,6100.00,West,Laptops,1.8,4.6
2025-07-08,68400.00,222,5000.00,North,Headphones,3.1,4.3
2025-07-09,91700.00,148,6900.00,South,Smartphones,2.2,4.6
2025-07-10,55000.00,175,4100.00,East,Tablets,2.7,4.2
2025-07-11,102200.00,165,7700.00,West,Smartphones,1.8,4.7
2025-07-12,44300.00,292,3300.00,North,Accessories,4.3,4.0
2025-07-13,79600.00,125,5900.00,South,Laptops,1.9,4.5
2025-07-14,66200.00,215,4800.00,East,Headphones,3.2,4.3
2025-07-15,90500.00,146,6700.00,West,Smartphones,2.3,4.5
2025-07-16,53400.00,171,3900.00,North,Tablets,2.9,4.1
2025-07-17,98400.00,159,7400.00,South,Smartphones,2.0,4.6
2025-07-18,42400.00,278,3100.00,East,Accessories,4.6,4.0
2025-07-19,76500.00,120,5700.00,West,Laptops,2.1,4.4
2025-07-20,63900.00,207,4600.00,North,Headphones,3.4,4.2
2025-07-21,94000.00,153,7100.00,South,Smartphones,2.0,4.7
2025-07-22,57000.00,181,4200.00,East,Tablets,2.6,4.3
2025-07-23,105800.00,171,7900.00,West,Smartphones,1.6,4.9
2025-07-24,48400.00,317,3600.00,North,Accessories,3.9,4.2
2025-07-25,83600.00,132,6300.00,South,Laptops,1.7,4.7
2025-07-26,70800.00,229,5100.00,East,Headphones,2.9,4.4
2025-07-27,95000.00,154,7200.00,West,Smartphones,1.9,4.7
2025-07-28,58800.00,187,4300.00,North,Tablets,2.4,4.4
2025-07-29,103700.00,168,7800.00,South,Smartphones,1.6,4.8
2025-07-30,46800.00,309,3400.00,East,Accessories,4.1,4.0
2025-07-31,82100.00,129,6100.00,West,Laptops,1.8,4.6
